season,round,driver_id,lap,position,time,time_ms
2000,1,hakkinen,1,1,1:40.366,100366
2000,1,coulthard,1,2,1:40.944,100944
2000,1,michael_schumacher,1,3,1:41.838,101838
2000,1,frentzen,1,4,1:43.598,103598
2000,1,barrichello,1,5,1:44.620,104620
2000,1,trulli,1,6,1:45.579,105579
2000,1,villeneuve,1,7,1:46.488,106488
2000,1,salo,1,8,1:47.177,107177
2000,1,irvine,1,9,1:48.028,108028
2000,1,verstappen,1,10,1:48.410,108410
2000,1,fisichella,1,11,1:49.187,109187
2000,1,rosa,1,12,1:49.440,109440
2000,1,ralf_schumacher,1,13,1:50.129,110129
2000,1,zonta,1,14,1:50.702,110702
2000,1,button,1,15,1:51.008,111008
2000,1,wurz,1,16,1:51.649,111649
2000,1,diniz,1,17,1:54.242,114242
2000,1,heidfeld,1,18,1:54.664,114664
2000,1,mazzacane,1,19,1:56.653,116653
2000,1,alesi,1,20,1:56.846,116846
2000,1,herbert,1,21,2:12.970,132970
2000,1,gene,1,22,4:30.954,270954
2000,1,hakkinen,2,1,1:34.181,94181
2000,1,coulthard,2,2,1:34.700,94700
2000,1,michael_schumacher,2,3,1:34.954,94954
2000,1,frentzen,2,4,1:36.649,96649
2000,1,barrichello,2,5,1:36.427,96427
2000,1,trulli,2,6,1:37.019,97019
2000,1,villeneuve,2,7,1:37.563,97563
2000,1,salo,2,8,1:37.505,97505
2000,1,verstappen,2,9,1:37.163,97163
2000,1,irvine,2,10,1:38.299,98299
2000,1,rosa,2,11,1:37.073,97073
2000,1,fisichella,2,12,1:37.988,97988
2000,1,ralf_schumacher,2,13,1:37.706,97706
2000,1,zonta,2,14,1:37.941,97941
2000,1,button,2,15,1:37.921,97921
2000,1,wurz,2,16,1:37.888,97888
2000,1,diniz,2,17,1:38.987,98987
2000,1,heidfeld,2,18,1:38.934,98934
2000,1,alesi,2,19,1:37.157,97157
2000,1,mazzacane,2,20,1:38.974,98974
2000,1,gene,2,21,1:42.399,102399
2000,1,hakkinen,3,1,1:34.105,94105
2000,1,coulthard,3,2,1:34.410,94410
2000,1,michael_schumacher,3,3,1:34.273,94273
2000,1,frentzen,3,4,1:36.203,96203
2000,1,barrichello,3,5,1:35.929,95929
2000,1,trulli,3,6,1:36.252,96252
2000,1,villeneuve,3,7,1:37.113,97113
2000,1,salo,3,8,1:37.317,97317
2000,1,verstappen,3,9,1:36.709,96709
2000,1,rosa,3,10,1:36.570,96570
2000,1,irvine,3,11,1:37.874,97874
2000,1,fisichella,3,12,1:37.532,97532
2000,1,ralf_schumacher,3,13,1:37.504,97504
2000,1,zonta,3,14,1:37.528,97528
2000,1,wurz,3,15,1:37.559,97559
2000,1,button,3,16,1:38.510,98510
2000,1,diniz,3,17,1:37.596,97596
2000,1,alesi,3,18,1:37.203,97203
2000,1,heidfeld,3,19,1:38.513,98513
2000,1,mazzacane,3,20,1:37.526,97526
2000,1,gene,3,21,1:36.270,96270
2000,1,hakkinen,4,1,1:33.886,93886
2000,1,coulthard,4,2,1:34.274,94274
2000,1,michael_schumacher,4,3,1:34.343,94343
2000,1,frentzen,4,4,1:35.852,95852
2000,1,barrichello,4,5,1:35.745,95745
2000,1,trulli,4,6,1:35.731,95731
2000,1,villeneuve,4,7,1:36.564,96564
2000,1,salo,4,8,1:36.837,96837
2000,1,verstappen,4,9,1:36.844,96844
2000,1,rosa,4,10,1:36.534,96534
2000,1,irvine,4,11,1:36.409,96409
2000,1,fisichella,4,12,1:36.542,96542
2000,1,ralf_schumacher,4,13,1:36.736,96736
2000,1,zonta,4,14,1:36.621,96621
2000,1,wurz,4,15,1:36.602,96602
2000,1,button,4,16,1:37.032,97032
2000,1,diniz,4,17,1:36.657,96657
2000,1,alesi,4,18,1:36.671,96671
2000,1,heidfeld,4,19,1:37.353,97353
2000,1,mazzacane,4,20,1:38.619,98619
2000,1,gene,4,21,1:35.823,95823
2000,1,hakkinen,5,1,1:34.201,94201
2000,1,coulthard,5,2,1:34.066,94066
2000,1,michael_schumacher,5,3,1:34.155,94155
2000,1,frentzen,5,4,1:36.062,96062
2000,1,barrichello,5,5,1:35.997,95997
2000,1,trulli,5,6,1:35.586,95586
2000,1,villeneuve,5,7,1:36.309,96309
2000,1,salo,5,8,1:36.057,96057
2000,1,verstappen,5,9,1:36.127,96127
2000,1,rosa,5,10,1:36.520,96520
2000,1,irvine,5,11,1:36.401,96401
2000,1,fisichella,5,12,1:36.527,96527
2000,1,ralf_schumacher,5,13,1:36.523,96523
2000,1,zonta,5,14,1:37.079,97079
2000,1,wurz,5,15,1:36.899,96899
2000,1,button,5,16,1:36.816,96816
2000,1,diniz,5,17,1:36.354,96354
2000,1,heidfeld,5,18,1:37.467,97467
2000,1,mazzacane,5,19,1:40.631,100631
2000,1,alesi,5,20,1:45.029,105029
2000,1,gene,5,21,1:35.774,95774
2000,1,hakkinen,6,1,1:33.759,93759
2000,1,coulthard,6,2,1:33.950,93950
2000,1,michael_schumacher,6,3,1:33.723,93723
2000,1,frentzen,6,4,1:35.847,95847
2000,1,barrichello,6,5,1:35.752,95752
2000,1,trulli,6,6,1:35.548,95548
2000,1,villeneuve,6,7,1:36.109,96109
2000,1,salo,6,8,1:35.957,95957
2000,1,verstappen,6,9,1:35.960,95960
2000,1,rosa,6,10,1:35.663,95663
2000,1,irvine,6,11,1:35.789,95789
2000,1,fisichella,6,12,1:36.265,96265
2000,1,ralf_schumacher,6,13,1:36.458,96458
2000,1,zonta,6,14,1:35.985,95985
2000,1,wurz,6,15,1:36.304,96304
2000,1,button,6,16,1:36.373,96373
2000,1,diniz,6,17,1:36.681,96681
2000,1,heidfeld,6,18,1:36.465,96465
2000,1,mazzacane,6,19,1:36.845,96845
2000,1,alesi,6,20,1:37.065,97065
2000,1,gene,6,21,1:37.325,97325
2000,1,hakkinen,7,1,1:33.583,93583
2000,1,coulthard,7,2,1:33.653,93653
2000,1,michael_schumacher,7,3,1:34.096,94096
2000,1,frentzen,7,4,1:36.137,96137
2000,1,barrichello,7,5,1:36.275,96275
2000,1,trulli,7,6,1:35.765,95765
2000,1,villeneuve,7,7,1:36.142,96142
2000,1,salo,7,8,1:36.654,96654
2000,1,fisichella,7,9,1:39.598,99598
2000,1,ralf_schumacher,7,10,1:39.619,99619
2000,1,zonta,7,11,1:40.257,100257
2000,1,wurz,7,12,1:39.860,99860
2000,1,button,7,13,1:40.136,100136
2000,1,diniz,7,14,1:37.908,97908
2000,1,heidfeld,7,15,1:45.349,105349
2000,1,mazzacane,7,16,1:41.505,101505
2000,1,alesi,7,17,1:41.284,101284
2000,1,gene,7,18,1:37.178,97178
2000,1,verstappen,7,19,6:21.969,381969
2000,1,hakkinen,8,1,2:07.485,127485
2000,1,coulthard,8,2,2:06.527,126527
2000,1,michael_schumacher,8,3,2:07.580,127580
2000,1,frentzen,8,4,1:56.829,116829
2000,1,barrichello,8,5,1:56.974,116974
2000,1,trulli,8,6,1:57.938,117938
2000,1,villeneuve,8,7,1:55.243,115243
2000,1,salo,8,8,1:55.452,115452
2000,1,fisichella,8,9,1:49.913,109913
2000,1,ralf_schumacher,8,10,1:50.323,110323
2000,1,zonta,8,11,1:49.755,109755
2000,1,wurz,8,12,1:50.063,110063
2000,1,button,8,13,1:50.228,110228
2000,1,diniz,8,14,1:51.105,111105
2000,1,heidfeld,8,15,1:43.291,103291
2000,1,mazzacane,8,16,1:43.008,103008
2000,1,alesi,8,17,1:42.990,102990
2000,1,gene,8,18,1:46.746,106746
2000,1,verstappen,8,19,2:21.774,141774
2000,1,hakkinen,9,1,2:27.852,147852
2000,1,coulthard,9,2,2:28.436,148436
2000,1,michael_schumacher,9,3,2:28.149,148149
2000,1,frentzen,9,4,2:26.546,146546
2000,1,barrichello,9,5,2:28.179,148179
2000,1,trulli,9,6,2:28.155,148155
2000,1,villeneuve,9,7,2:27.649,147649
2000,1,salo,9,8,2:27.394,147394
2000,1,fisichella,9,9,2:27.287,147287
2000,1,ralf_schumacher,9,10,2:26.772,146772
2000,1,zonta,9,11,2:28.118,148118
2000,1,wurz,9,12,2:28.035,148035
2000,1,button,9,13,2:28.247,148247
2000,1,diniz,9,14,2:28.015,148015
2000,1,heidfeld,9,15,2:26.814,146814
2000,1,alesi,9,16,2:26.383,146383
2000,1,mazzacane,9,17,2:39.968,159968
2000,1,gene,9,18,2:32.235,152235
2000,1,verstappen,9,19,1:37.926,97926
